,Sakalava (Maintirano),Betsimisaraka (Mahanoro),Antankarana (Ambilobe),Mikea (Analamena),Antankarana (Vohemar),Masikoro (Miary),Antankarana (Antalaha),Sakalava (Ambanja),Sakalava (Majunga),Merina (Antananarivo),Sakalava (Morondava),Betsimisaraka (Fenoarivo-Est),Antanosy (Tolagnaro),Antandroy (Ambovombe),Betsileo (Fianarantsoa),Vezo (Toliara),Sihanaka (Ambatondranzaka),Tsimihety (Mandritsara),Mahafaly (Ampanihy),Antambohoaka (Mananjary),Antaisaka (Vangaindrano),Antaimoro (Manakara),Zafisoro (Farafangana),Bara (Betroka)
101,maletsy,tery,maletry,tsiombe,maletry,maifitsy,mahety,tery,tery,tery,hifotsy,mahety,tery,tere,tery,maifitse,mahety,mahety,titse,tery,pitsa,tery,pitsa,tery
102,akaiky,marivo,marikitry,marineke,marikitry,mariniky,marikitry,marikitry,marikitra,akaiky,mariny,mariny,mariny,marine,akaiky,marine,akaiky,mariny,marine,marivo,akeky,akeky,akeky,mariny
103,akaiky,ambozogna,vozogno,vozo,vozogno,vozo,vozogno,vozogno,vozona,vozona,vozo,tenda,vozo,vozo,vozona,vozo,tenda,ambozogno,vozo,vozogna,vozo,vozogna,vozo,vozo
104,vao,vo,vao,vao,vaovao,vao,vaovao,vao,vaovao,vao,vao,vaovao,vao,vao,vao,vaovao,vaovao,mbalava,vao,vao,vao,vao,vao,vao
105,aliky,alina,aligny,ale,aligny,haliky,aligny,aligny,alina,alina,herignaly,androaligny,hariva,halegne,alina,halike,alina,haligny,haleke,hariva,ariva,aligna,ariva,haly
106,oro,orona,orogno,oro,orogno,oro,orogno,orogno,orona,orona,oro,orogno,oro,fagnatsogne,orona,oro,orona,horogno,oro,orogna,oro,orogna,vatagnoro,oro
107,tsy,tsy,tsy,tsie,tsy,tsy,tsy,tsy,tsy,tsy,tsy,ahe,tsy,tsy,tsa,tsy,tsy,tsy,tsy,tsy,aeky,tsy,tsy,tsy
108,antitsy,antitra,matoe,antitse,matoa,antitsy,antitry,matoe,antitra,antitra,antitry,antitry,antisy,antetre,antitra,antitse,antitra,handitry,antetse,antitra,atitry,ragnavavy,mavozo,antitry
109,raiky,reka,araiky,raike,araiky,raiky,araiky,araiky,raiky,iray,raiky,araiky,raiky,raike,ray,raike,iray,araiky,raike,raika,raiky,raiky,raiky,raiky
110,hafa,afa,hafa,hata,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa
111,olo,olona,olo,olo,olo,olo,olo,olo,olona,olona,olo,ologno,olo,ndaty,olo,olo,olona,ologno,ndaty,olona,olo,olo,olo,olo
112,miisa,mibolo,misoma,misa,misaoma,misa,misoma,misoma,misoma,milalao,miisa,midola,mihira,mihisa,milalao,mihisa,milalao,misaoma,mihisa,milalao,mihira,mihira,mihira,mihisa
113,mitifitsy,mitifitra,mitifitry,mitititse,mitifitry,mitifitsy,mitifitry,mitifitry,manifitra,mitifitra,mitifitry,mitifitry,mitifisy,mitifitse,mitifitra,mitifitse,mikendry,mitifitry,mitifitse,mitifitra,mitifitry,mitifitry,mitifitry,mtifitry
114,mandonjy,manosika,mandronjy,mandronje,mandronjy,mandrosy,manosiky,miposy,manosika,manosika,manosiky,manosiky,manosiky,manoseke,manosika,manosike,manosika,manidigny,manoseke,manosika,manosiky,manosiky,magnatozeky,manosiky
115,ora,oran andro,mahalegny,ora,mahalegny,ora,oragna,mahaleny,orana,orana,ora,oragnandro,ora,oragne,orana,ora,orana,magnoragna,ora,orana,rikandro,oragna,arokandro,meriky
116,mena,mena,mena,mena,mena,mena,maina,maina,mena,mena,mena,mena,mena,mena,mena,mena,mena,maina,mena,mena,mena,mena,mena,mena
117,sabona,manjary,mety,mete,marigny,mety,mety,fagneragna,mety,mety,mety,manjary,mety,mete,mety,mete,mety,manjary,mete,mety,marigny,aminazy,izay,mety
118,kavana,ankavanana,ankahery,ankavana,ankavanana,havana,ankavanagna,ankahery,havanagna,havanana,havana,ankavanana,havana,havanagne,havanana,havana,ankavanana,ankahery,havagna,havagnana,akavana,havagna,akavana,havana
119,rano mandeha,siragnana,tegnadrano,vavarano,tegnandrano,renirano,tegnarano,taignandrano,renirano,renirano,vavarano,renirano,renirano,renerano,renirano,renirano,renirano,renindrano,ranobey,renirano,renirano,renirano,renirano,renirano
120,lala,lalana,lalabe,lala,lalagna,lala,lalagna,lalagna,lalagna,lalana,lala,lalagna,lala,lalagne,lalana,lala,lalana,lalagna,lala,lalana,lala,lalagna,lalagna,lala
121,vahitry,vahatra,fototry,tototse,vahatra,fototry,vahany,vahatra,fotony,fakana,vahatry,vahiny,vahatsy,fakae,vahakazo,faka,vahitra,vahany,vahane,vahany,vahatry,fakany,vatry,faka
122,taly,tady,tady,hosy,tady,taly,tady,tady,tady,tady,hosy,afotro,taly,taly,tady,taly,tady,tady,taly,tady,tady,tady,tady,tady
123,mavay,lo,montraka,mavay,montraka,mavay,lo,montraka,simba,bobongolo,loha,lo,mavavo,momoke,bobongolo,mavay,masiso,lo,bobongolo,bobongolo,vilavila,lo,mavao,bobongolo
124,mitakosiky,mikosoka,mikosoka,mazaotse,mikosoko,mikasoke,mampikasiky,mandrokotro,mikasoka,manakasoka,mikosiky,mampikasiky,migosa,midraso,manakasoka,mikasoke,manakisina,magnosokosoka,mapikasoke,mampikasika,magnakasoky,kisikisigna,mikosiky,mampisasoky
125,sira,sira,sira,mangovarano,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira
126,fasiky,fasika,jia,tane,jia,fasy,alagnana,fasigny,fasika,fasika,fasy,fasiky,fasy,faseke,fasika,fase,fasika,alagnagna,faseke,fasigna,fasiky,fasiky,fasiky,fasiky
127,mivola,mizaka,mivolagna,mivola,mivolagna,mivola,mivolagna,mivolagna,mivola,milaza,misafa,mivolagna,magnambara,mirehake,milaza,mivola,miteny,mivolagna,mivola,mizaka,mizaka,mizaka,mizaka,miroho
128,mihaotsy,mikiky,magnikihy,magnihe,magnaotro,magnihy,magnisiky,magnikihy,mikiky,mikiky,mikiky,mikiky,mikihy,mikihy,mikiky,manisiky,mikiky,magniky,mikihy,mikiky,mikikitry,mikisigna,mikikitry,mikiky
129,ranomasy,ranomasigna,ranomasigny,ranosira,ranomasigny,riake,ranomasigny,ranomasigny,ranosira,ranomasina,ranomasy,ranomasigny,riaky,ranomasigne,ranomasina,riake,ranomasina,ranomasigny,riaky,ranomasina,ranomasy,ranomasigna,manomasy,riaky
130,mijilo,mahita,mihiry,mahita,mahitra,mahita,mahita,mahita,mijery,mahita,mahajery,mahita,mahita,mahatrea,mahita,mahita,mahita,mahita,mahisake,mahita,maita,mahita,mahita,mahita
131,masomboly,voa,ambio,voane,ambio,vihy,voany,ambeo,voa,voa,vihy,ambeko,vihy,voa,voa,voa,voa,ambe,voa,voa,doria,voa,isiny,voa
132,manjaitsy,manjetra,manjatry,mitsebeke,manjaitry,mitrebiky,manjaitry,manjaitry,mitrebiky,manjaitra,manjaitry,manjaitry,manzaisy,manjaitse,manjaitra,mitsebike,jipirina,manjaitry,mitrebeke,manjaitra,majaitry,manjaitry,manjaitry,mitreboky
133,maragnitsy,marangitra,maragnitry,,maragnitry,maragnitsy,marangitry,maragnitry,maranitra,maranitra,minaoky,maragnitry,maragnisy,masiogne,maranitra,maranitse,maranitra,marangitry,maragnitse,maranitra,maragnitry,maragnitry,maragnitry,maragnitry
134,boribory,fohy,foeky,boriborike,fohiky,boribory,fohy,fohiky,fohy,fohy,bory,fohy,bory,fohike,fohy,boribory,pota,foho,boribory,fohika,fohy,foiky,botry,bory
135,miantsa,mihira,mihira,miantsa,miantsa,mibeko,mihira,mihira,mihira,mihira,miantsa,mihira,miantsa,mibeko,mihira,mihira,mihira,mihira,miantsa,mihira,miatsa,mihira,mihira,miantsa
136,mipetraka,mipetraka,mipetraka,mipetsake,mipetraka,mipetraky,mantotry,mipaitraika,mipetraka,mipetraka,mipetraky,mantotry,mitoboky,miambesatre,mitoetse,mitoboke,mipetraka,mantotry,mitoboke,mipetraka,midoboky,midoboky,midoboky,mitoboky
137,holitry,oditra,oditry,holitse,hoditry,holitsy,hoditry,angozy,hoditra,hoditra,oditry,hoditry,holisy,holitse,hoditra,holitse,angozo,hoditry,holine,hoditra,odittry,hoditry,hoditry,hoditry
138,lagnitry,lagnitra,lagnitry,,lagnitry,lagnitsy,langitry,lagnitry,lagnitra,lanitra,lagnitry,lagnitry,lagnisy,lagnitse,lanitra,lanitse,lanitra,langitry,lagnitse,lagnitra,lagnitry,lanitry,lagnitry,lagnitry
139,miroro,mandry,matoro,,mandry,miroro,mandry,mandry,mijosy,matory,matory,mandry,matory,miroro,mandry,miroro,matory,matoro,miroro,mandry,matory,mandry,matory,matory
140,kely,bitika,hely,kelekele,hely,kelikely,hely,ely,kely,kely,keliky,hely,kely,kedekede,kely,malinike,bilitika,hely,mesay,bitika,kidy,madiniky,pitiky,kidy
141,mitsoky,tosina,maharegny,manitsike,maharegny,misintsiky,maharegny,mitrotroko,mahatsapa,mitroka,mifoko,miainy,mamofo,mitroke,mitroka,manimbo,mitroka,misintogno,misintsike,mitroka,mitsetsitry,mitsoky,maregny,mitroky
142,setroky,mifoka,setroko,setroke,setroko,setroky,hemboko,setroko,setroka,setroka,setroky,emboko,setroky,setroke,setroka,setroke,setroka,hemboko,setroke,zavogna,setroky,setroky,tesy,setroky
143,madojo,malama,madoso,madoso,malamatra,madoso,malambatra,malamatra,malamatra,malama,madoso,malamatra,malama,malama,malama,madoso,malama,malamatra,malama,malama,malama,malama,malama,malama
144,bibilava,bibilava,biby,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,meregne,bibilava,bibilava,bibilava,bibilava,bibilava
145,lagilasy,lanezy,lanaizy,ranovory,lanaizy,ranomivaingagna,lanaizy,avandra,ranomandry,ranomandry,ranomandriky,gilasy,fanala,ranomivogagne,ranomandry,rano mivonga,anvandra,fanala,havandra,ranomandry,ranomandry,ranomangatseky,ranomandry,zavo
146,tsy maro,vitsivitsy,vitsy,tsyampeampe,tsy maro,tsy ampiampy,vitsivitsy,vitsivitsy,sasatsasany,vitsivitsy,tsy firy,vitsivitsy,tsiampiampy,kelekele,vitsivitsy,tsy ampeampe,ivitsivitsy,tsy fontry,tsy ampe,vitsivitsy,kidikidy,kelikely,kidikidy,vitsivitsy
147,mandreoky,mandreoka,mikahaka,mandrehoke,mandraora,mandrehoky,mihaka,mikahaka,mandrehoka,mandrehoka,mandrehoky,mihaka,mandrehoky,mandrehoke,mandrehoka,manjehoke,mandrora,mihaka,mandrehoke,mandrehoka,mandreoky,mandrehoky,mandoha rehoky,mandrehoky
148,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,fizarany,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,magnilaky,mamaky,mamaky
149,mandray,mampositra,misery,mandrambe,mangala,mandrambe,mangala,mangala,mangala,mandray,mandraby,malaka,mandramby,mamihigne,mandray,manjabe,mifinjy,mangoeky,manere,mangala,mangala,mandramby,mipitsa,mandray
150,mitomboky meso,manatsatoka antsy,mitomboko meso,mitomboke,manomboko,mitomboke meso,manombokiso,mitomboko meso,manatsatoka meso,manatsatoka antsy,mitomboky meso,manombo kiso,mampitsatoky mesa,mitsatoke mesa,manatsatoka antsy,mitomboke meso,mitoboka antsy,mitomboko,mampitsatoke meso,mampitrobaka kiso,magnatsatoka amesa,manaboaky antsy,mapitraoky meso,mitsatoky meso
151,mitsotaky,mitsangana,mitsanga,mitsanga,mitsangana,mitsanga,mitsangagna,mitsangagna,mitsangana,mitsangana,mitsotaky,mitsangagna,misanga,mitsangagne,mitsangana,mitsanga,mitsangana,mitsangagna,miongaha,mitsangana,mitsanga,mitsangagna,mitsangana,mitsanga
152,basia,kintana,lakinta,basia,lakintagna,basia,lakintagna,lakintagna,kintana,kintana,kintana,kintagna,kinta,kintagne,vasiana,basia,kintana,lakintagna,kinta,kintana,vasia,kitagna,vasia,vasia
153,kobay,kobe,kibay,kobay,kibay,kobay,kobay,kobay,kibay,kibay,koba,vely,kobay,kobay,kibay,kobay,tapakazo,koboay,kobay,kaboda,angira,angira,kaboda,kobay
154,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato,vato
155,mahity,mahintsy,mahitsy,mahitsy,mahitsy,mahity,mahitsy,mahitsy,mahitsy,mahitsy,mahitsy,mahitsy,mahisy,mahity,mahitsy,mahity,mahitsy,mahitsy,mahity,mahitsy,mahitsy,mahitsy,mahitsy,mahitsy
156,mitsintsiky,mamiaka,minono,misintsike,minono,misintsiky,mitsentsitry,mitsetsitry,misintogna,mifiaka,mitsitsiky,homagna,misesisy,mitroke,mifiaka,mitsitsiky,mitsetsitra,mamiaka,mamiake,mitsika,mitsetsitry,misesitry,mameky,mafiaky
157,masoandro,masoandro,masoandra,masoandro,masoandro,masoandro,masova,masoandro,zova,masoandro,masoandro,masoandro,masoandro,masoandro,masoandro,masoandro,masova,masova,masoandro,masoandro,masoandro,masoandro,masoandro,masoandro
158,mivonto,mivonto,mivonto,mibonjo,mivona,mibonjo,mibontaka,mivonto,mibontsina,mibontsina,mivonto,mibontsigny,mibonsy,mibotignake,mibontsina,mivonto,mibontsina,mivonto,mibokinake,mivonto,mibotaky,mibontsigna,mivonto,mivonto
159,milagno,mandragno,milomaogno,milagno,milomagno,milagno,milomagno,milomogno,milomano,milomano,milagno,milomagno,milomagno,milagno,milomano,mandano,milomano,milimagno,milagno,mandagno,milagno,milagno,milomagno,mandagno
160,rambo,volom body,ohy,hohy,oiny,tsikohy,ohy,ohy,ohy,rambo,rambo,ohy,ohiny,ohy,rambo,hohy,rambo,oho,rambony,volombody,ohy,rambognany,ohy,rambo
161,iriky,iry,roe,eroy,zegny,eroy,ry,ry,igny,iry,indro,irohony,iriky,indroy,iroy,njoy,iry,aro,iroke,iry,iry,iry,iraoky,iriky
162,ao,ako,ao,ao,ary,ao,akao,ao,ao,ao,ao,aka,ao,ao,ao,ao,ao,aka,ao,ao,amignao,ao,amignao,ao
163,reo,zareo,iro,roze,iro,rozy,zare,iro,reo,izireo,rozy,zare,ereo,ireke,izy,iareo,ry zareo,zareo,iareo,arizareo,indreo,ireo aby,izy aby,izy
164,matevy,matevina,matevigny,mateve,matevigny,matevy,matevigny,matevigny,matevina,matevina,matevy,matevigny,matevy,matevegne,matevina,matevy,matevina,matevigny,mateve,matevina,matevy,matevigna,badogny,matevy
165,manify,manify,matify,matife,matify,matify,matify,matify,mahia,manify,pisaky,manify,mahia,manify,manify,matify,matify,matify,matify,manify,manify,magnify,manify,manify
166,mieritreritry,mieritreritra,mieritreritry,mandrineke,mandiniky,mandiniky,mieritreritry,mandiniky,mieritreritra,mieritreritra,mikasa,mieritreritry,mieriserisy,mieretreretre,mieritreritra,mandinike,mieritreritra,meritreritry,mandineke,mieritreritra,mandiniky,mandigniky,madiniky,mieritseritsy
167,ity,itogny,ity,toy,ty,toy,ty,ty,ndreto,ity,toy,ito,itiho,itoy,itito,toy,ty,to,ittke,ity,ity,ity,itiky,ity
168,iha,ano,anao,iha,anao,iha,anao,anao,anao,ianao,iha,ana,hanao,irehe,anao,iha,ianao,ana,iriha,anao,anao,anao,anao,enao
169,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo
170,mitoraky,mambalavala,magnatsipy,mitorake,magnary,mitoraky,mitaoraka,mitopy,manoraka,manoraka,mitoraky,manoraka,manoraky,mitorake,manoraka,mitorake,manary,manody,mitorake,mambalavala,magnary,atoraky,mitoraky,magnary
171,mamatotsy,mamatotra,mamehy,mamehe,mamehy,mamehy,mamehy,mamehy,mamatotra,mamehy,mamehy,mamehy,mamatosy,mamehe,mamehy,mamehy,mamatotra,mamehy,mamehe,mamatotra,mamehy,manambatry,mamatotry,mamehy
172,lela,lela,lela,lela,lela,lela,laila,laila,lela,lela,lela,lela,lela,fameleke,lela,lela,lela,laila,lela,lela,lela,lela,lela,lela
173,ihy,nify,nify,hi,nify,hi,nify,hy,nify,nify,nify,nify,nify,famotse,nify,hi,nify,nify,nife,nify,nify,nify,nify,nify
174,hazo,kakazo,kakazo,hazo,kakazo,hazo,kakazo,kakazo,kakazo,hazo,hazo,kakazo,hazo,hatay,hazo,hazo,kakazo,kakazo,hetae,kakazo,hazo,hazo,kakazo,hazo
175,mioliky,midigna,mierigny,mihodike,magnodigny,miodiky,mikodidigny,mihodigny,mihodina,mihodina,miodiky,mihodigny,mihodiky,mihodigne,mihodina,mihodike,mihodina,mihodigny,mihodike,mihodigna,miodigny,mihodigna,mihodigny,mihodiky
176,roy,roa,aroe,roe,aroe,roe,aro,aroe,roa,roa,roa,aro,ro,roe,roa,roe,roa,aroa,roe,roa,roy,roe,roy,roa
177,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandeha,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa,mandoa
178,mandeha,mandeha,mandeha,mandeha,mandeha,mandeha,mandaiha,mandaiha,mandiha,mandeha,mandeha,mandeha,mandeha,mandeha,mandeha,mandeha,mandeha,mandaiha,mandeha,mandeha,mandeha,mandeha,mandeha,mandeha
179,may,mafana,mafana,mifana,mafana,mafana,mafana,mafana,mafana,mafana,may,mafana,mafana,matsovoke,mafana,ma,mafana,mafana,mae,mafana,mafana,mafana,may,mafana
180,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa,manasa
181,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano,rano
182,tsika,antsena,atsika,tsika,atsika,tsika,atsika,atsika,tsika,isika,tsika,atsika,sika,itikagne,isika,tsika,itsika,atsika,itika,isika,itsika,isikana,atsika,esika
183,boboky,mando,mando,,leny,lende,legny,leny,mando,mando,mando,boka,mando,legne,mando,le,mando,lendegny,mando,mando,mando,mando,ledegny,mando
184,ino,ino,ino,ino,ino,ino,ino,ino,karakory tsara,inona,ino,ino,ino,inogne,ino,ino,inona,ino,ino,ino,ino,ino,ino,ino
185,ombia,oviana,ombiagna,mbia,mbiagna,ombia,aforiagna,mbiagna,ombia,oviana,ombia,oviagna,ombia,ombia,oviana,ombia,ovina,aforiagna,mbia,ovena,ovia,ovena,ovia,ombia
186,aia,eza,aia,aia,aia,aia,akaiza,ahia,aiza,aiza,aia,aiza,eza,aia,aiza,aia,aiza,aiza,aia,aza,aia,aza,ahia,aia
187,foty,fotsy,malandy,foty,malandy,foty,fotsy,malandy,fotsy,fotsy,foty,fotsy,fosy,foty,fotsy,foty,fotsy,fotsy,foty,fotsy,fotsy,fotsy,fotsy,fotsy
188,ia,zovy,anjovy,ia,azovy,ia,azovy,azovy,iza,iza,ia,izovy,iza,ia,ia,ia,iza,zovy,ia,iza,ia,iza,iha,ia
189,malalaky,malalaka,malalaka,malalake,malalaka,malalaky,malalaka,malalaka,malalaka,malalaka,malalaky,malalaka,malalaky,malalake,malalaka,malalake,malalaka,malalaka,malalake,malalaky,malalaky,malalaky,malalaky,malalaky
190,valy,vady,vady,valy,vady,valy,vady,vady,vady,vady,valy,vady,valy,valy,vady,valy,vady,vady,valy,vady,viavy,vady,vady,vady
191,tioky,rivotra,tsiko,tsioke,tsiko,tsioky,rivotro,tsiko,rivotra,rivotra,rivotry,rivotro,rivosy,tioke,rivotra,tsioke,rivotra,rivotro,tioke,agnina,rivotry,rivotry,rivotry,rivotry
192,elatsy,elatra,elatra,helatse,elatra,helatsy,alaitra,ailatra,helatra,elatra,elatry,elatra,elasy,elatse,elatra,elatse,elatra,haimbagna,elane,elatra,elatry,elatry,elatry,elatry
193,mamasa,mamafa,mamotro,mamafa,mamotro,mamafa,mamitry,mamafa,mamafa,mamafa,manadio,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa,mamafa
194,amin ny,miaraka amin ny,amin ny,amen ny,ndraiky,amin ny,amin ny,amin ny,miaraka ndreky,amin ny,amin ny,miaraka,amin gny,amin ny,amin ny,amin ny,amin ny,amin ny,amine,amin ny,ame,amin ny,amin ny,miaraky
195,ampela,viavy,magnangy,ampela,magnangy,ampela,viavy,magnangy,manangy,vehivavy,somondrara,viavy,ampela,ampela,apela,ampela,vehivavy,vaiavy,ampela,viavy,viavy,viavy,viavy,apela
196,ala,atiala,atiala,ala,kakazo,ala,atiala,atiala,ala,ala,ala,atiala,ala,ala,ala,ala,ala,hatiala,ala,ala,hazo,ala,ala,ala
197,hanka,viky,ankana,soko,ankagna,soko,hankagna,ankagna,kankana,kankana,hanka,hankana,soko,soko,kankana,tsoko,felika,hankagna,kanka,viky,haka,ankagna,aka,hanka
198,nareo,andreo,anaro,nareo,anaro,nareo,andre,anaro,nareo,ianareo,nareo,anare,nareo,iareo,ianareo,nareo,ianareo,areo,nareo,anareo,anareo,indreo,anareo,nareo
199,tao,tona,taogno,tao,taogno,tao,taogno,taogno,taona,taona,tona,tono,tao,taogne,taona,tao,taona,atagno,tao,taona,tao,taogna,taogny,tao
200,voeny,mavo,vogny,vogne,manamotamo,vogny,hasaka,tamotamo,mavo,vony,vogny,mavo,vogny,mavogne,vony,vony,mavo,fondragna,vogne,mavo,majabo,mavo,makamaka,mavo
